experiment_ID, ID ,noise type, Initial training dataset size, Oversampling Size per new instance, accumilated_retraining_dataset_size, lr, ewc_lambda, 					first_model_acc_on_original_training_data, first_model_acc_on_original_testing_data,					first_model_acc_on_oversampled_new_instance_training_data, first_model_acc_on_oversampled_new_instance_testing_data,					first_model_acc_on_accumilated_oversampled_new_instances_training_data, first_model_acc_on_accumilated_oversampled_new_instances_testing_data,					before_last_model_acc_on_original_training_data, before_last_model_acc_on_original_testing_data,					before_last_model_acc_on_oversampled_new_instance_training_data, before_last_model_acc_on_oversampled_new_instance_testing_data,					before_last_model_acc_on_accumilated_oversampled_new_instances_training_data, before_last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					last_model_acc_on_original_training_data, last_model_acc_on_original_testing_data,					last_model_acc_on_oversampled_new_instance_training_data, last_model_acc_on_oversampled_new_instance_testing_data,					last_model_acc_on_accumilated_oversampled_new_instances_training_data, last_model_acc_on_accumilated_oversampled_new_instances_testing_data,					acc_instance_test_first_model, acc_instance_test_before_last_model, acc_instance_test_last_model,					acc_accumilated_instances_test_first_model, acc_accumilated_instances_test_before_last_model, acc_accumilated_instances_test_last_model
15,9,0,60000,1000,10000,0.002000,40.00,98.77,98.85,29.60,30.00,34.00,33.76,92.86,93.37,41.80,38.80,68.17,68.92,93.51,94.05,93.60,94.40,70.01,71.12,30.00,38.80,94.40,33.76,68.92,71.12
16,0,1,60000,1000,1000,0.000100,100.00,98.68,98.70,27.10,33.20,27.10,33.20,98.68,98.70,27.10,33.20,27.10,33.20,97.82,97.95,73.90,74.40,73.90,74.40,33.20,33.20,74.40,33.20,33.20,74.40
16,1,0,60000,1000,2000,0.000100,70.00,98.68,98.70,36.50,36.00,31.80,34.60,97.82,97.95,31.00,32.00,52.45,53.20,97.26,97.42,73.00,74.40,69.70,70.80,36.00,32.00,74.40,34.60,53.20,70.80
16,2,0,60000,1000,3000,0.000200,80.00,98.68,98.70,26.70,30.40,30.10,33.20,97.26,97.42,23.50,26.00,54.30,55.87,95.32,95.56,67.80,69.60,71.53,70.27,30.40,26.00,69.60,33.20,55.87,70.27
16,3,1,60000,1000,4000,0.000400,60.00,98.68,98.70,23.20,21.60,28.38,30.30,95.32,95.56,13.80,13.20,57.10,56.00,93.72,94.02,58.10,56.00,71.30,70.20,21.60,13.20,56.00,30.30,56.00,70.20
16,4,1,60000,1000,5000,0.000400,80.00,98.68,98.70,22.30,23.20,27.16,28.88,93.72,94.02,48.50,48.40,66.74,65.84,86.99,86.96,81.70,82.00,70.76,70.24,23.20,48.40,82.00,28.88,65.84,70.24
16,5,2,60000,1000,6000,0.000800,90.00,98.68,98.70,34.40,34.00,28.37,29.73,86.99,86.96,9.40,10.00,60.53,60.20,82.82,82.88,43.20,44.80,69.22,70.00,34.00,10.00,44.80,29.73,60.20,70.00
16,6,2,60000,1000,7000,0.000800,100.00,98.68,98.70,28.70,32.80,28.41,30.17,82.82,82.88,29.60,32.40,63.56,64.63,83.56,83.64,70.40,76.80,68.59,70.29,32.80,32.40,76.80,30.17,64.63,70.29
16,7,0,60000,1000,8000,0.002000,70.00,98.68,98.70,21.60,21.20,27.56,29.05,83.56,83.64,8.00,5.20,61.01,62.15,76.05,76.66,58.60,56.00,71.55,72.10,21.20,5.20,56.00,29.05,62.15,72.10
16,8,2,60000,1000,9000,0.000800,10.00,98.68,98.70,48.50,49.20,29.89,31.29,76.05,76.66,0.00,0.00,63.60,64.09,80.22,80.56,60.60,55.20,72.09,71.11,49.20,0.00,55.20,31.29,64.09,71.11
16,9,1,60000,1000,10000,0.000900,20.00,98.68,98.70,43.40,38.80,31.24,32.04,80.22,80.56,38.90,34.00,68.77,67.40,80.81,80.97,89.40,89.20,70.51,70.16,38.80,34.00,89.20,32.04,67.40,70.16
17,0,1,60000,1000,1000,0.000100,100.00,98.89,98.74,47.90,42.80,47.90,42.80,98.89,98.74,47.90,42.80,47.90,42.80,98.36,98.15,82.40,80.40,82.40,80.40,42.80,42.80,80.40,42.80,42.80,80.40
17,1,2,60000,1000,2000,0.000100,100.00,98.89,98.74,39.10,42.40,43.50,42.60,98.36,98.15,40.60,42.00,61.50,61.20,98.23,98.06,75.20,76.00,77.05,76.20,42.40,42.00,76.00,42.60,61.20,76.20
17,2,0,60000,1000,3000,0.000100,100.00,98.89,98.74,45.70,48.40,44.23,44.53,98.23,98.06,42.70,44.40,65.60,65.60,98.45,98.26,74.30,75.60,72.07,72.00,48.40,44.40,75.60,44.53,65.60,72.00
17,3,1,60000,1000,4000,0.000200,90.00,98.89,98.74,39.60,36.40,43.08,42.50,98.45,98.26,33.30,30.40,62.38,61.60,97.85,97.61,67.50,59.60,73.20,70.20,36.40,30.40,59.60,42.50,61.60,70.20
17,4,0,60000,1000,5000,0.000200,80.00,98.89,98.74,28.00,24.40,40.06,38.88,97.85,97.61,36.90,31.60,65.94,62.48,97.98,97.79,80.30,77.20,74.44,70.64,24.40,31.60,77.20,38.88,62.48,70.64
17,5,0,60000,1000,6000,0.000300,60.00,98.89,98.74,29.40,28.40,38.28,37.13,97.98,97.79,20.70,20.40,65.48,62.27,97.64,97.75,56.90,52.00,73.35,70.27,28.40,20.40,52.00,37.13,62.27,70.27
17,6,1,60000,1000,7000,0.000500,80.00,98.89,98.74,29.00,29.20,36.96,36.00,97.64,97.75,13.10,11.20,64.74,61.83,97.58,97.75,70.20,68.80,71.70,70.46,29.20,11.20,68.80,36.00,61.83,70.46
17,7,0,60000,1000,8000,0.000500,60.00,98.89,98.74,27.60,29.20,35.79,35.15,97.58,97.75,41.20,44.80,67.89,67.25,96.61,96.89,70.90,65.60,71.95,70.20,29.20,44.80,65.60,35.15,67.25,70.20
17,8,1,60000,1000,9000,0.000500,40.00,98.89,98.74,35.60,32.80,35.77,34.89,96.61,96.89,24.20,28.80,66.64,65.60,96.28,96.62,60.70,59.60,72.04,70.09,32.80,28.80,59.60,34.89,65.60,70.09
17,9,2,60000,1000,10000,0.000300,10.00,98.89,98.74,39.10,38.00,36.10,35.20,96.28,96.62,19.30,20.00,66.77,65.08,94.42,94.90,67.30,68.40,72.79,70.64,38.00,20.00,68.40,35.20,65.08,70.64
18,0,0,60000,1000,1000,0.000200,70.00,98.75,98.76,29.50,34.00,29.50,34.00,98.75,98.76,29.50,34.00,29.50,34.00,97.47,97.72,69.20,70.00,69.20,70.00,34.00,34.00,70.00,34.00,34.00,70.00
18,1,1,60000,1000,2000,0.000200,50.00,98.75,98.76,30.70,37.20,30.10,35.60,97.47,97.72,14.30,19.20,41.75,44.60,95.20,95.65,77.10,79.60,68.00,71.40,37.20,19.20,79.60,35.60,44.60,71.40
18,2,1,60000,1000,3000,0.000300,70.00,98.75,98.76,44.80,46.80,35.00,39.33,95.20,95.65,24.50,25.20,53.50,56.00,95.42,95.60,81.50,85.60,67.20,70.27,46.80,25.20,85.60,39.33,56.00,70.27
18,3,0,60000,1000,4000,0.000500,80.00,98.75,98.76,17.80,16.40,30.70,33.60,95.42,95.60,24.60,20.40,56.55,57.80,93.04,93.38,60.40,56.40,68.22,70.70,16.40,20.40,56.40,33.60,57.80,70.70
18,4,0,60000,1000,5000,0.000700,80.00,98.75,98.76,35.70,34.40,31.70,33.76,93.04,93.38,16.90,17.60,57.96,60.08,90.46,91.00,76.80,76.40,69.30,70.16,34.40,17.60,76.40,33.76,60.08,70.16
18,5,2,60000,1000,6000,0.001000,80.00,98.75,98.76,45.70,42.00,34.03,35.13,90.46,91.00,25.20,20.80,61.95,61.93,91.04,91.76,64.50,60.00,70.22,70.93,42.00,20.80,60.00,35.13,61.93,70.93
18,6,1,60000,1000,7000,0.001000,40.00,98.75,98.76,20.20,22.80,32.06,33.37,91.04,91.76,9.80,10.00,61.59,62.23,87.96,88.56,66.00,65.20,69.13,70.23,22.80,10.00,65.20,33.37,62.23,70.23
18,7,1,60000,1000,8000,0.000700,20.00,98.75,98.76,39.00,40.40,32.92,34.25,87.96,88.56,15.10,12.40,62.38,63.00,91.91,92.41,78.60,77.20,70.71,70.80,40.40,12.40,77.20,34.25,63.00,70.80
18,8,2,60000,1000,9000,0.000900,20.00,98.75,98.76,34.40,28.80,33.09,33.64,91.91,92.41,9.60,7.20,63.92,63.73,89.84,90.29,79.30,80.00,70.74,71.29,28.80,7.20,80.00,33.64,63.73,71.29
18,9,1,60000,1000,10000,0.000600,10.00,98.75,98.76,38.50,37.20,33.63,34.00,89.84,90.29,41.10,42.00,67.78,68.36,92.99,93.69,77.00,78.00,70.00,70.32,37.20,42.00,78.00,34.00,68.36,70.32
19,0,1,60000,1000,1000,0.000100,80.00,98.83,98.76,30.30,32.00,30.30,32.00,98.83,98.76,30.30,32.00,30.30,32.00,97.72,97.58,74.90,70.00,74.90,70.00,32.00,32.00,70.00,32.00,32.00,70.00
19,1,2,60000,1000,2000,0.000200,60.00,98.83,98.76,38.50,34.80,34.40,33.40,97.72,97.58,1.70,1.60,38.30,35.80,95.28,95.24,65.60,66.40,72.05,70.60,34.80,1.60,66.40,33.40,35.80,70.60
19,2,2,60000,1000,3000,0.000400,90.00,98.83,98.76,49.20,49.60,39.33,38.80,95.28,95.24,33.20,30.80,59.10,57.33,96.46,96.44,80.30,80.40,73.17,71.87,49.60,30.80,80.40,38.80,57.33,71.87
19,3,2,60000,1000,4000,0.000200,60.00,98.83,98.76,29.30,27.60,36.83,36.00,96.46,96.44,39.10,37.20,64.65,63.20,96.38,96.20,76.90,78.40,69.97,70.50,27.60,37.20,78.40,36.00,63.20,70.50
19,4,0,60000,1000,5000,0.000400,90.00,98.83,98.76,42.10,44.40,37.88,37.68,96.38,96.20,28.80,24.40,61.74,61.28,95.84,95.69,76.80,72.40,71.30,70.32,44.40,24.40,72.40,37.68,61.28,70.32
19,5,2,60000,1000,6000,0.000300,40.00,98.83,98.76,29.40,30.40,36.47,36.47,95.84,95.69,16.30,20.00,62.13,61.93,95.98,95.87,79.20,77.20,71.52,71.20,30.40,20.00,77.20,36.47,61.93,71.20
19,6,2,60000,1000,7000,0.000800,70.00,98.83,98.76,18.00,16.80,33.83,33.66,95.98,95.87,4.10,3.20,61.89,61.49,94.54,94.36,31.00,32.80,69.76,70.06,16.80,3.20,32.80,33.66,61.49,70.06
19,7,2,60000,1000,8000,0.001000,60.00,98.83,98.76,48.10,48.00,35.61,35.45,94.54,94.36,17.50,17.20,63.23,63.45,93.99,93.90,76.20,72.00,70.95,70.00,48.00,17.20,72.00,35.45,63.45,70.00
19,8,2,60000,1000,9000,0.000500,20.00,98.83,98.76,18.50,17.20,33.71,33.42,93.99,93.90,30.40,28.40,66.44,65.38,93.92,93.85,69.80,71.20,70.89,70.44,17.20,28.40,71.20,33.42,65.38,70.44
19,9,2,60000,1000,10000,0.000800,30.00,98.83,98.76,26.20,25.60,32.96,32.64,93.92,93.85,48.60,50.40,68.66,68.44,90.92,90.93,79.30,78.80,71.67,70.56,25.60,50.40,78.80,32.64,68.44,70.56
